,SMILES,smip_cand_mons,vinyl,epo,cOle,lactone,lactam,hydCOOH,aminCOOH,hindPhenol,cAnhyd,CO,HCHO,sfonediX,BzodiF,diepo,diCOOH,diol,diamin,diNCO,dicAnhyd,pridiamin,diol_b
42511,C=C1CC(S(=O)(=O)c2ccccc2)C1,C=C1CC(S(=O)(=O)c2ccccc2)C1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
613,Cc1c(Br)c[nH]c(=O)c1Br,Cc1c(Br)c[nH]c(=O)c1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47676,C=Cc1ccc(C)cc1F,C=Cc1ccc(C)cc1F,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75118,N#Cc1cccc(OCC#CCCl)c1Br,N#Cc1cccc(OCC#CCCl)c1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21889,O=C1OC(CO)C(O)C1F,O=C1OC(CO)C(O)C1F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
53086,C=C(C(=O)O)c1cccc(Cl)c1Cl,C=C(C(=O)O)c1cccc(Cl)c1Cl,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21365,CCOC(=O)C1(CC)OC1(CC)COC,CCOC(=O)C1(CC)OC1(CC)COC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42689,C=CC(O)c1ccc(Br)cn1,C=CC(O)c1ccc(Br)cn1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45884,COC(=O)C=C1CN(C(=O)OC(C)(C)C)C1,COC(=O)C=C1CN(C(=O)OC(C)(C)C)C1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30857,C=CCN(CC=C)N=Nc1cccc(Cl)c1,C=CCN(CC=C)N=Nc1cccc(Cl)c1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28364,O=C(O)C(O)c1ccc(Br)c(O)c1,O=C(O)C(O)c1ccc(Br)c(O)c1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46057,Cc1cccc(C=CCN)c1,Cc1cccc(C=CCN)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,Nc1nc(N)c(Br)nc1Br,Nc1nc(N)c(Br)nc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
16834,Fc1cccc(OCC2CO2)c1,Fc1cccc(OCC2CO2)c1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4465,N#CCc1cc(Cl)c(Br)cc1Br,N#CCc1cc(Cl)c(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73489,COC(=O)C#CC1CCCC1,COC(=O)C#CC1CCCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58565,CCOC(=O)C=Cc1cc(Br)c(OCc2ccccc2)c(OC)c1,CCOC(=O)C=Cc1cc(Br)c(OCc2ccccc2)c(OC)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52238,C=CCC(NC(=O)OCc1ccccc1)B1OC(C)(C)C(C)(C)O1,C=CCC(NC(=O)OCc1ccccc1)B1OC(C)(C)C(C)(C)O1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28497,OCc1nc(Br)ccc1O,OCc1nc(Br)ccc1O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10181,CC(C)(C)OC(=O)N1CCC(O)(C2(C(=O)O)CNC2)CC1,CC(C)(C)OC(=O)N1CCC(O)(C2(C(=O)O)CNC2)CC1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56407,C=CCN(CC)C(=O)c1ccccc1OC,C=CCN(CC)C(=O)c1ccccc1OC,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24850,OCc1cc(O)cc(OCc2ccccc2)c1,OCc1cc(O)cc(OCc2ccccc2)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
16067,COC(=O)N1COCC1(C)C,COC(=O)N1COCC1(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
192,N#Cc1ccc(N=C=O)c(Br)c1Br,N#Cc1ccc(N=C=O)c(Br)c1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50767,COC(=O)C=C1CCCCCCCCCCC1,COC(=O)C=C1CCCCCCCCCCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34316,COc1ccc(-c2ccc(OC)cc2N)c(N)c1,COc1ccc(-c2ccc(OC)cc2N)c(N)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
63491,C=CCCCCCCC,C=CCCCCCCC,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53990,Cc1ccc(SC=CC(=O)c2ccc(Cl)cc2)cc1,Cc1ccc(SC=CC(=O)c2ccc(Cl)cc2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21371,CCOC(=O)C1(CC)OC1(C)CC,CCOC(=O)C1(CC)OC1(C)CC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14893,CC1CC(=O)C=CO1,CC1CC(=O)C=CO1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41112,C=Cc1ccc(N(CC)CC)cc1,C=Cc1ccc(N(CC)CC)cc1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59595,COC(=O)C=Cc1cnc(OC)nc1,COC(=O)C=Cc1cnc(OC)nc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
