,SMILES,smip_cand_mons,vinyl,epo,cOle,lactone,lactam,hydCOOH,aminCOOH,hindPhenol,cAnhyd,CO,HCHO,sfonediX,BzodiF,diepo,diCOOH,diol,diamin,diNCO,dicAnhyd,pridiamin,diol_b
0,CC(O)c1cc(Br)ccc1Br,CC(O)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,C=Cc1cc(Br)cc(Br)c1O,C=Cc1cc(Br)cc(Br)c1O,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Oc1c(S)cc(Br)cc1Br,Oc1c(S)cc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3,NNc1cc(Br)cc(Br)c1O,NNc1cc(Br)cc(Br)c1O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,C#CCCc1c(Br)cncc1Br,C#CCCc1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,NNc1c(Br)cncc1Br,NNc1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Brc1cc(Br)c(C2CO2)s1,Brc1cc(Br)c(C2CO2)s1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,SCc1sc(Br)cc1Br,SCc1sc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Sc1sc(Br)cc1Br,Sc1sc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,N=C(N)c1sc(Br)cc1Br,N=C(N)c1sc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Brc1ccc(Br)c(C2CO2)c1,Brc1ccc(Br)c(C2CO2)c1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Brc1cncc(Br)c1C1CO1,Brc1cncc(Br)c1C1CO1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,N#CCCc1c(Br)cncc1Br,N#CCCc1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,CC(C#N)c1c(Br)cncc1Br,CC(C#N)c1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,NOCc1c(Br)cncc1Br,NOCc1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,CC(C)(O)c1cc(Br)c(Br)o1,CC(C)(O)c1cc(Br)c(Br)o1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,O=CCc1ccc(Br)cc1Br,O=CCc1ccc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,C#CCc1c(Br)cncc1Br,C#CCc1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,NOCc1ccc(Br)cc1Br,NOCc1ccc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,O=C=Nc1c(Br)cncc1Br,O=C=Nc1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,C#CC(C)c1c(Br)cncc1Br,C#CC(C)c1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Brc1cc(C2CO2)oc1Br,Brc1cc(C2CO2)oc1Br,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,OCCc1sc(Br)cc1Br,OCCc1sc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,CC1(c2cc(Br)c(Br)o2)CO1,CC1(c2cc(Br)c(Br)o2)CO1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,CC(O)c1cc(Br)c(Br)o1,CC(O)c1cc(Br)c(Br)o1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,C=Cc1sc(Br)cc1Br,C=Cc1sc(Br)cc1Br,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Oc1cc(Br)c(Br)o1,Oc1cc(Br)c(Br)o1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Oc1sc(Br)cc1Br,Oc1sc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,OCc1sc(Br)cc1Br,OCc1sc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,ONCc1ccc(Br)cc1Br,ONCc1ccc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,CC(C#N)c1ccc(Br)cc1Br,CC(C#N)c1ccc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,C=Cc1cc(Br)ccc1Br,C=Cc1cc(Br)ccc1Br,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Brc1ccc(C2CO2)c(Br)c1,Brc1ccc(C2CO2)c(Br)c1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,C#CCc1ccc(Br)cc1Br,C#CCc1ccc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,C#CCc1cc(Br)ccc1Br,C#CCc1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,SCc1cc(Br)cnc1Br,SCc1cc(Br)cnc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,C#CC(C)c1cc(Br)ccc1Br,C#CC(C)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,N=C(N)c1ccc(Br)cc1Br,N=C(N)c1ccc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,NOCc1cc(Br)ccc1Br,NOCc1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,C=Cc1ccc(Br)cc1Br,C=Cc1ccc(Br)cc1Br,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,NNc1cc(Br)c(O)c(Br)c1,NNc1cc(Br)c(O)c(Br)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,O=CC=Cc1ccc(Br)cc1Br,O=CC=Cc1ccc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,C#Cc1ccc(Br)cc1Br,C#Cc1ccc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,CC(O)c1c(Br)cncc1Br,CC(O)c1c(Br)cncc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,CC(O)c1ccc(Br)c(Br)c1,CC(O)c1ccc(Br)c(Br)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,C=CC(=O)c1ccc(Br)c(Br)c1,C=CC(=O)c1ccc(Br)c(Br)c1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,C#CCc1cc(Br)c(O)c(Br)c1,C#CCc1cc(Br)c(O)c(Br)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,C#Cc1cc(Br)c(OC)c(Br)c1,C#Cc1cc(Br)c(OC)c(Br)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,C=Cc1cc(Br)c(O)c(Br)c1,C=Cc1cc(Br)c(O)c(Br)c1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,O=C=Nc1ccc(Br)c(Br)c1,O=C=Nc1ccc(Br)c(Br)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,C#Cc1cc(Br)cnc1Br,C#Cc1cc(Br)cnc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,CC(C#N)c1ncc(Br)cc1Br,CC(C#N)c1ncc(Br)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,CC(O)c1cc(Br)cnc1Br,CC(O)c1cc(Br)cnc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,Brc1cnc(C2CO2)c(Br)c1,Brc1cnc(C2CO2)c(Br)c1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,C=Cc1cc(Br)cnc1Br,C=Cc1cc(Br)cnc1Br,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,Brc1cccc(Br)c1C1CO1,Brc1cccc(Br)c1C1CO1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,Brc1ccc(C2CO2)cc1Br,Brc1ccc(C2CO2)cc1Br,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,O=CC=Cc1c(Br)cccc1Br,O=CC=Cc1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,C#CCCc1c(Br)cccc1Br,C#CCCc1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,CC(O)c1c(Br)cccc1Br,CC(O)c1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,N=C(N)c1c(Br)cccc1Br,N=C(N)c1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,C#CCc1c(Br)cccc1Br,C#CCc1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,C#CC(C)c1c(Br)cccc1Br,C#CC(C)c1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,C=Cc1c(Br)cccc1Br,C=Cc1c(Br)cccc1Br,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,ONCc1c(Br)cccc1Br,ONCc1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,C#Cc1c(Br)cccc1Br,C#Cc1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,NNc1cc(Br)cnc1Br,NNc1cc(Br)cnc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,O=CCc1cc(Br)cnc1Br,O=CCc1cc(Br)cnc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,NOCc1c(Br)cccc1Br,NOCc1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,C=CC(=O)c1c(Br)cccc1Br,C=CC(=O)c1c(Br)cccc1Br,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,SCc1c(Br)cccc1Br,SCc1c(Br)cccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,COCOc1c(Br)cc(F)cc1Br,COCOc1c(Br)cc(F)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,CCCCNC(=O)c1cc(Br)ccc1Br,CCCCNC(=O)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,O=C(Nc1ccncc1)c1cc(Br)ccc1Br,O=C(Nc1ccncc1)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,CCCCCCNC(=O)c1cc(Br)ccc1Br,CCCCCCNC(=O)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,O=C(O)c1cnn(Cc2ccccc2Br)c1Br,O=C(O)c1cnn(Cc2ccccc2Br)c1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,COC(CNC(=O)c1cc(Br)ccc1Br)OC,COC(CNC(=O)c1cc(Br)ccc1Br)OC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,COC(=O)C(C)NC(=O)c1cc(Br)ccc1Br,COC(=O)C(C)NC(=O)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,O=C(Cc1ccc(Br)cc1)Nc1ncccc1Br,O=C(Cc1ccc(Br)cc1)Nc1ncccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1Br,O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,O=C(Nc1ccccc1Cl)c1cc(Br)ccc1Br,O=C(Nc1ccccc1Cl)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,Cc1ccccc1NC(=O)c1cc(Br)ccc1Br,Cc1ccccc1NC(=O)c1cc(Br)ccc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,C=C(C)COc1c(Br)cc(C=O)cc1Br,C=C(C)COc1c(Br)cc(C=O)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,Cc1cc(Br)c(S(=O)(=O)NC(C)(C)C)cc1Br,Cc1cc(Br)c(S(=O)(=O)NC(C)(C)C)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
