No,mon1,mon2,SMILES,polymer_class,thermal_conductivity
1,O=C(Cl)c1ccc(C(=O)Cl)s1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(*)=O)s4)cc3)cc2)cc1,polyamide,0.631 
2,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(N)c2[nH]ccc12,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)c2[nH]ccc12,polyamide,0.594 
3,O=C(Cl)c1ccc(C(=O)Cl)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.550 
4,O=C(Cl)c1ccc(C(=O)Cl)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,polyamide,0.529 
5,O=C(Cl)c1ccc(C(=O)Cl)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.528 
6,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(NC(=O)c5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.523 
7,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.519 
8,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.507 
9,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(N)s1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(*)=O)cc4)cc3)cc2)s1,polyamide,0.506 
10,O=C(Cl)c1ccc2cc(C(=O)Cl)ccc2c1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc5cc(C(*)=O)ccc5c4)cc3)cc2)cc1,polyamide,0.493 
